# Per-TF Fiber-seq footprint pads, in the MOTIF's own 5'->3' frame.
#   <tf>  <left>  <right>
# A TF absent from this file gets 0/0, i.e. today's unwidened behaviour.
# Read by make_meme_wide.py (sequence columns) and make_params_wide.py (Fiber vector),
# so the two layers cannot disagree about a TF's width.
# GENERATED -- do not hand-edit; see the header of each consumer.
#
# Every motif in inputs/motifs_meme.txt. The 12 fitted TFs use their own flanks and
# their own +/-50bp Fiber profile; the other 141 share the pooled low-count estimate
# on both layers. Run B.  ('unknown' is not in the meme file and stays unwidened.)
#
# tf                           left  right
Abf1_murphy                  10    10
Abf2_badis                   10    10
Ace2_badis                   10    10
Adr1_badis                   10    10
Aft1_zhu                     10    10
Aft2_badis                   10    10
Aro80_zhu                    10    10
Asg1_zhu                     10    10
Azf1_badis                   10    10
Bas1_zhu                     10    10
Cad1_murphy                  10    10
Cat8_badis                   10    10
Cbf1_zhu                     10    10
Cep3_badis                   10    10
Cha4_zhu                     10    10
Cin5_murphy                  10    10
Crz1_badis                   10    10
Cst6_murphy                  10    10
Cup9_badis                   10    10
Dal80_badis                  10    10
Dal82_badis                  10    10
Ecm22_murphy                 10    10
Ecm23_badis                  10    10
Fhl1_zhu                     10    10
Fkh1_zhu                     10    10
Fkh2_zhu                     10    10
Fzf1_badis                   10    10
Gal4_zhu                     10    10
Gat1_zhu                     10    10
Gat3_zhu                     10    10
Gat4_zhu                     10    10
Gcn4_zhu                     10    10
Gcr1_murphy                  10    10
Gis1_badis                   10    10
Gln3_badis                   10    10
Gsm1_zhu                     10    10
Gzf3_zhu                     10    10
Hac1_badis                   10    10
Hal9_zhu                     10    10
Hap1_murphy                  10    10
Hcm1_badis                   10    10
Hmlalpha2_murphy             10    10
Hmra2_badis                  10    10
Hsf1_badis                   10    10
Leu3_zhu                     10    10
Lys14_zhu                    10    10
Matalpha2_zhu                10    10
Mbp1_zhu                     10    10
Mcm1_zhu                     10    10
Met31_badis                  10    10
Met32_badis                  10    10
Mga1_zhu                     10    10
Mig1_zhu                     10    10
Mig2_zhu                     10    10
Mig3_zhu                     10    10
Mot3_murphy                  10    10
Msn1_murphy                  10    10
Msn2_badis                   10    10
Msn4_badis                   10    10
Ndt80_zhu                    10    10
Nhp10_badis                  10    10
Nhp6a_zhu                    10    10
Nhp6b_zhu                    10    10
Nrg1_zhu                     10    10
Nrg2_murphy                  10    10
Oaf1_badis                   10    10
Pbf1_zhu                     10    10
Pbf2_zhu                     10    10
Pdr1_badis                   10    10
Pdr3_murphy                  10    10
Pdr8_badis                   10    10
Phd1_zhu                     10    10
Pho2_badis                   10    10
Pho4_zhu                     10    10
Put3_badis                   10    10
Rap1_motif1                  10    10
Rap1_motif2                  10    10
Rap1_telomeric               10    10
Rap1_zhu                     10    10
Rdr1_zhu                     10    10
Rds1_zhu                     10    10
Rds2_badis                   10    10
Reb1_badis                   10    10
Rei1_badis                   10    10
Rfx1_badis                   10    10
Rgm1_badis                   10    10
Rgt1_badis                   10    10
Rim101_badis                 10    10
Rox1_badis                   10    10
Rph1_badis                   10    10
Rpn4_badis                   10    10
Rsc30_zhu                    10    10
Rsc3_zhu                     10    10
Rtg3_zhu                     10    10
Sfl1_zhu                     10    10
Sfp1_zhu                     10    10
Sig1_badis                   10    10
Sip4_badis                   10    10
Skn7_badis                   10    10
Sko1_murphy                  10    10
Smp1_zhu                     10    10
Sok2_badis                   10    10
Spt15_zhu                    10    10
Srd1_badis                   10    10
Stb3_zhu                     10    10
Stb4_murphy                  10    10
Stb5_murphy                  10    10
Ste12_murphy                 10    10
Stp1_murphy                  10    10
Stp2_zhu                     10    10
Stp3_badis                   10    10
Stp4_zhu                     10    10
Sum1_zhu                     10    10
Sut1_murphy                  10    10
Sut2_zhu                     10    10
Swi4_badis                   10    10
Swi5_badis                   10    10
Tbf1_zhu                     10    10
Tbs1_zhu                     10    10
Tea1_zhu                     10    10
Tec1_badis                   10    10
Tos8_badis                   10    10
Tye7_zhu                     10    10
Uga3_badis                   10    10
Ume6_zhu                     10    10
Upc2_murphy                  10    10
Usv1_zhu                     10    10
Vhr1_murphy                  10    10
Xbp1_badis                   10    10
Yap1_zhu                     10    10
Yap3_murphy                  10    10
Yap6_zhu                     10    10
Ybr033w_murphy               10    10
Ybr239c_zhu                  10    10
Ydr520c_badis                10    10
Yer064c_murphy               10    10
Yer130c_badis                10    10
Yer184c_murphy               10    10
Ygr067c_badis                10    10
Ykl222c_zhu                  10    10
Yll054c_zhu                  10    10
Ylr278c_murphy               10    10
Yml081w_zhu                  10    10
Ynr063w_badis                10    10
Yox1_badis                   10    10
Ypr013c_zhu                  10    10
Ypr015c_zhu                  10    10
Ypr022c_badis                10    10
Ypr196w_badis                10    10
Yrm1_badis                   10    10
Yrr1_zhu                     10    10
Zap1_murphy                  10    10
Zms1_badis                   10    10
