sample_id	target	replicate	assay	condition	gsm	on_disk
14374	ARP9	rep1	ChIP-exo	normal	GSM4449193	
14449	Aap1	rep1	ChIP-exo	normal	GSM4449150	yes
17031	Aap1	rep2	ChIP-exo	normal	GSM4449151	yes
14859	Abd1	rep1	ChIP-exo	normal	GSM4449152	
15254	Abf1	rep1	ChIP-exo	normal	GSM4449153	yes
19442	Abf1	rep2	ChIP-exo	normal	GSM4449154	yes
19997	Abf1	rep3	ChIP-exo	normal	GSM4449651	yes
16021	Ace2	rep1	ChIP-exo	normal	GSM4449155	yes
17958	Ace2	rep2	ChIP-exo	normal	GSM4449156	yes
11920	Aco1	rep1	ChIP-exo	normal	GSM4449157	
14640	Acs1	rep1	ChIP-exo	normal	GSM4449158	
11926	Acs2	rep1	ChIP-exo	normal	GSM4449159	yes
17945	Acs2	rep2	ChIP-exo	normal	GSM4449160	yes
19993	Ada1	rep1	ChIP-exo	normal	GSM4449161	
12860	Ada2	rep1	ChIP-exo	normal	GSM4449162	yes
17019	Ada2	rep2	ChIP-exo	normal	GSM4449163	yes
19994	Ada2	rep3	ChIP-exo	normal	GSM4449164	yes
14183	Ade12	rep1	ChIP-exo	normal	GSM4449165	
14778	Adk1	rep1	ChIP-exo	normal	GSM4449166	
14405	Ado1	rep1	ChIP-exo	normal	GSM4449167	
17768	Adr1	rep1	ChIP-exo	normal	GSM4449168	
11942	Aft2	rep1	ChIP-exo	normal	GSM4449169	yes
15627	Aft2	rep2	ChIP-exo	normal	GSM4449170	yes
17594	Ahc1	rep1	ChIP-exo	normal	GSM4449171	
14822	Ahc2	rep1	ChIP-exo	normal	GSM4449172	
12950	Aor1	rep1	ChIP-exo	normal	GSM4449173	yes
17794	Aor1	rep2	ChIP-exo	normal	GSM4449174	yes
12021	Apc5	rep1	ChIP-exo	normal	GSM4449175	
12040	Apc9	rep1	ChIP-exo	normal	GSM4449176	
14478	Apt1	rep1	ChIP-exo	normal	GSM4449177	
14851	Arg80	rep1	ChIP-exo	normal	GSM4449178	
14850	Arg81	rep1	ChIP-exo	normal	GSM4449179	
12032	Arg82	rep1	ChIP-exo	normal	GSM4449180	
13467	Aro3	rep1	ChIP-exo	normal	GSM4449181	
13439	Aro4	rep1	ChIP-exo	normal	GSM4449182	
14469	Aro80	rep1	ChIP-exo	normal	GSM4449183	yes
14970	Aro80	rep2	ChIP-exo	normal	GSM4449184	yes
12865	Aro9	rep1	ChIP-exo	normal	GSM4449185	
14377	Arp4	rep1	ChIP-exo	normal	GSM4449186	
17950	Arp5	rep1	ChIP-exo	normal	GSM4449187	
17158	Arp6	rep1	ChIP-exo	normal	GSM4449188	yes
17582	Arp6	rep2	ChIP-exo	normal	GSM4449189	yes
12434	Arp7	rep1	ChIP-exo	normal	GSM4449190	yes
17800	Arp7	rep2	ChIP-exo	normal	GSM4449191	yes
12090	Arp8	rep1	ChIP-exo	normal	GSM4449192	
14860	Arr1	rep1	ChIP-exo	normal	GSM4449194	
12845	Arx1	rep1	ChIP-exo	normal	GSM4449195	
17557	Asf1	rep1	ChIP-exo	normal	GSM4449196	
17802	Asf2	rep1	ChIP-exo	normal	GSM4449197	yes
20419	Asf2	rep2	ChIP-exo	normal	GSM4449198	yes
12453	Asg1	rep1	ChIP-exo	normal	GSM4449199	
28363	Asg1	rep2	ChIP-exo	normal	GSM4449200	
12024	Ash1	rep1	ChIP-exo	normal	GSM4449201	
12111	Ask10	rep1	ChIP-exo	normal	GSM4449202	
17773	Azf1	rep1	ChIP-exo	normal	GSM4449203	yes
19305	Azf1	rep2	ChIP-exo	normal	GSM4449204	yes
12018	Bas1	rep1	ChIP-exo	normal	GSM4449205	yes
15649	Bas1	rep2	ChIP-exo	normal	GSM4449206	yes
13440	Bat2	rep1	ChIP-exo	normal	GSM4449207	
17139	Bcy1	rep1	ChIP-exo	normal	GSM4449208	yes
18464	Bcy1	rep2	ChIP-exo	normal	GSM4449209	yes
12139	Bdf1	rep1	ChIP-exo	normal	GSM4449210	yes
15630	Bdf1	rep2	ChIP-exo	normal	GSM4449211	yes
12116	Bdf2	rep1	ChIP-exo	normal	GSM4449212	yes
17013	Bdf2	rep2	ChIP-exo	normal	GSM4449213	yes
12113	Bdp1	rep1	ChIP-exo	normal	GSM4449214	yes
14278	Bdp1	rep2	ChIP-exo	normal	GSM4449215	yes
12854	Bem4	rep1	ChIP-exo	normal	GSM4449216	
14765	Bim1	rep1	ChIP-exo	normal	GSM4449217	
14769	Bmh1	rep1	ChIP-exo	normal	GSM4449218	
13446	Bmh2	rep1	ChIP-exo	normal	GSM4449219	
11752	Bre1	rep1	ChIP-exo	normal	GSM4449220	yes
13789	Bre1	rep2	ChIP-exo	normal	GSM4449221	yes
14798	Bre2	rep1	ChIP-exo	normal	GSM4449222	yes
17951	Bre2	rep2	ChIP-exo	normal	GSM4449223	yes
13145	Brf1	rep1	ChIP-exo	normal	GSM4449224	yes
15488	Brf1	rep2	ChIP-exo	normal	GSM4449225	yes
12943	Brn1	rep1	ChIP-exo	normal	GSM4449226	yes
17986	Brn1	rep2	ChIP-exo	normal	GSM4449227	yes
12870	Bud17	rep1	ChIP-exo	normal	GSM4449228	
13462	Bud20	rep1	ChIP-exo	normal	GSM4449229	
17145	Bud22	rep1	ChIP-exo	normal	GSM4449230	
14493	Bud32	rep1	ChIP-exo	normal	GSM4449231	
11903	Bud6	rep1	ChIP-exo	normal	GSM4449232	
12877	Bur2	rep1	ChIP-exo	normal	GSM4449233	yes
14631	Bur2	rep2	ChIP-exo	normal	GSM4449234	yes
17876	Bur6	rep1	ChIP-exo	normal	GSM4449235	yes
19995	Bur6	rep2	ChIP-exo	normal	GSM4449236	yes
20420	Bur6	rep3	ChIP-exo	normal	GSM4449237	yes
13149	Bye1	rep1	ChIP-exo	normal	GSM4449238	yes
17799	Bye1	rep2	ChIP-exo	normal	GSM4449239	yes
20077	CTDSer2	rep1	ChIP-exo	normal	GSM4449304	
20081	CTDSer2	rep2	ChIP-exo	normal	GSM4449305	
20078	CTDSer5	rep1	ChIP-exo	normal	GSM4449306	
20082	CTDSer5	rep2	ChIP-exo	normal	GSM4449307	
20079	CTDSer7	rep1	ChIP-exo	normal	GSM4449308	
20083	CTDSer7	rep2	ChIP-exo	normal	GSM4449309	
16029	Cac2	rep1	ChIP-exo	normal	GSM4449240	
14777	Cad1	rep1	ChIP-exo	normal	GSM4449241	yes
20421	Cad1	rep2	ChIP-exo	normal	GSM4449242	yes
17598	Caf120	rep1	ChIP-exo	normal	GSM4449243	
12457	Caf130	rep1	ChIP-exo	normal	GSM4449244	
16544	Caf16	rep1	ChIP-exo	normal	GSM4449245	
17030	Caf4	rep1	ChIP-exo	normal	GSM4449246	
13158	Caf40	rep1	ChIP-exo	normal	GSM4449247	
11922	Cam1	rep1	ChIP-exo	normal	GSM4449248	
14757	Car1	rep1	ChIP-exo	normal	GSM4449249	
12844	Car2	rep1	ChIP-exo	normal	GSM4449250	
14357	Cbc2	rep1	ChIP-exo	normal	GSM4449251	yes
14988	Cbc2	rep2	ChIP-exo	normal	GSM4449252	yes
10352	Cbf1	rep1	ChIP-exo	normal	GSM4449253	yes
24636	Cbf1	rep2	ChIP-exo	normal	GSM4449254	yes
12435	Cca1	rep1	ChIP-exo	normal	GSM4449255	yes
17016	Cca1	rep2	ChIP-exo	normal	GSM4449256	yes
14529	Ccl1	rep1	ChIP-exo	normal	GSM4449257	yes
16571	Ccl1	rep2	ChIP-exo	normal	GSM4449258	yes
12091	Ccr4	rep1	ChIP-exo	normal	GSM4449259	
12095	Cdc26	rep1	ChIP-exo	normal	GSM4449260	
12087	Cdc28	rep1	ChIP-exo	normal	GSM4449261	
13480	Cdc33	rep1	ChIP-exo	normal	GSM4449262	
12934	Cdc36	rep1	ChIP-exo	normal	GSM4449263	
12940	Cdc39	rep1	ChIP-exo	normal	GSM4449264	
17942	Cdc46	rep1	ChIP-exo	normal	GSM4449265	yes
18483	Cdc46	rep2	ChIP-exo	normal	GSM4449266	yes
12029	Cdc47	rep1	ChIP-exo	normal	GSM4449267	
13456	Cdc48	rep1	ChIP-exo	normal	GSM4449268	
12010	Cdc53	rep1	ChIP-exo	normal	GSM4449269	
13450	Cdc55	rep1	ChIP-exo	normal	GSM4449270	
14403	Cdd1	rep1	ChIP-exo	normal	GSM4449271	
23472	Cet1	rep1	ChIP-exo	normal	GSM4449272	
12427	Cft1	rep1	ChIP-exo	normal	GSM4449273	yes
17809	Cft1	rep2	ChIP-exo	normal	GSM4449274	yes
12003	Cha4	rep1	ChIP-exo	normal	GSM4449275	yes
20422	Cha4	rep2	ChIP-exo	normal	GSM4449276	yes
12056	Chd1	rep1	ChIP-exo	normal	GSM4449277	yes
18003	Chd1	rep2	ChIP-exo	normal	GSM4449278	yes
18006	Chz1	rep1	ChIP-exo	normal	GSM4449279	
12011	Cin5	rep1	ChIP-exo	normal	GSM4449280	yes
17890	Cin5	rep2	ChIP-exo	normal	GSM4449281	yes
12841	Cka1	rep1	ChIP-exo	normal	GSM4449282	yes
20423	Cka1	rep2	ChIP-exo	normal	GSM4449283	yes
20424	Cka2	rep1	ChIP-exo	normal	GSM4449284	yes
20994	Cka2	rep2	ChIP-exo	normal	GSM4449285	yes
14396	Ckb1	rep1	ChIP-exo	normal	GSM4449286	yes
12875	Ckb2	rep1	ChIP-exo	normal	GSM4449287	yes
18481	Ckb2	rep2	ChIP-exo	normal	GSM4449288	yes
14451	Cks1	rep1	ChIP-exo	normal	GSM4449289	
15001	Cln1	rep1	ChIP-exo	normal	GSM4449290	yes
17956	Cln1	rep2	ChIP-exo	normal	GSM4449291	yes
28330	Cmr3	rep1	ChIP-exo	normal	GSM4449292	
13805	Cpr1	rep1	ChIP-exo	normal	GSM4449293	
17927	Crm1	rep1	ChIP-exo	normal	GSM4449294	
12876	Crz1	rep1	ChIP-exo	normal	GSM4449295	yes
17034	Crz1	rep2	ChIP-exo	normal	GSM4449296	yes
12053	Cse2	rep1	ChIP-exo	normal	GSM4449297	yes
13817	Cse2	rep2	ChIP-exo	normal	GSM4449298	yes
26215	Cse4	rep1	ChIP-exo	normal	GSM4449299	
14536	Csl4	rep1	ChIP-exo	normal	GSM4449300	
12051	Csn12	rep1	ChIP-exo	normal	GSM4449301	yes
17589	Csn12	rep2	ChIP-exo	normal	GSM4449302	yes
14866	Csr2	rep1	ChIP-exo	normal	GSM4449303	
12134	Ctk1	rep1	ChIP-exo	normal	GSM4449310	yes
