gene	n_shipped	n_jaspar	n_rossi	bucket	sources	shipped_names
ABF1	1	1	4	3way	murphy	Abf1_murphy
ABF2	1	1	0	2way_jaspar	badis	Abf2_badis
ACE2	1	1	4	3way	badis	Ace2_badis
ADR1	1	1	0	2way_jaspar	badis	Adr1_badis
AFT1	1	1	0	2way_jaspar	zhu	Aft1_zhu
AFT2	1	1	1	3way	badis	Aft2_badis
ARO80	1	1	0	2way_jaspar	zhu	Aro80_zhu
ASG1	1	1	0	2way_jaspar	zhu	Asg1_zhu
AZF1	1	1	2	3way	badis	Azf1_badis
BAS1	1	1	5	3way	zhu	Bas1_zhu
CAD1	1	1	3	3way	murphy	Cad1_murphy
CAT8	1	1	0	2way_jaspar	badis	Cat8_badis
CBF1	1	1	3	3way	zhu	Cbf1_zhu
CEP3	1	1	0	2way_jaspar	badis	Cep3_badis
CHA4	1	1	2	3way	zhu	Cha4_zhu
CIN5	1	1	2	3way	murphy	Cin5_murphy
CRZ1	1	1	0	2way_jaspar	badis	Crz1_badis
CST6	1	1	0	2way_jaspar	murphy	Cst6_murphy
CUP9	1	1	3	3way	badis	Cup9_badis
DAL80	1	1	0	2way_jaspar	badis	Dal80_badis
DAL82	1	1	0	2way_jaspar	badis	Dal82_badis
ECM22	1	1	0	2way_jaspar	murphy	Ecm22_murphy
ECM23	1	1	0	2way_jaspar	badis	Ecm23_badis
FHL1	1	1	6	3way	zhu	Fhl1_zhu
FKH1	1	1	3	3way	zhu	Fkh1_zhu
FKH2	1	1	3	3way	zhu	Fkh2_zhu
FZF1	1	1	1	3way	badis	Fzf1_badis
GAL4	1	1	1	3way	zhu	Gal4_zhu
GAT1	1	1	0	2way_jaspar	zhu	Gat1_zhu
GAT3	1	1	0	2way_jaspar	zhu	Gat3_zhu
GAT4	1	1	0	2way_jaspar	zhu	Gat4_zhu
GCN4	1	1	3	3way	zhu	Gcn4_zhu
GCR1	1	1	4	3way	murphy	Gcr1_murphy
GIS1	1	1	2	3way	badis	Gis1_badis
GLN3	1	1	0	2way_jaspar	badis	Gln3_badis
GSM1	1	1	0	2way_jaspar	zhu	Gsm1_zhu
GZF3	1	1	3	3way	zhu	Gzf3_zhu
HAC1	1	1	0	2way_jaspar	badis	Hac1_badis
HAL9	1	1	2	3way	zhu	Hal9_zhu
HAP1	1	1	2	3way	murphy	Hap1_murphy
HCM1	1	1	0	2way_jaspar	badis	Hcm1_badis
HMLALPHA2	1	0	0	nothing_to_compare	murphy	Hmlalpha2_murphy
HMRA2	1	1	0	2way_jaspar	badis	Hmra2_badis
HSF1	1	1	7	3way	badis	Hsf1_badis
LEU3	1	1	2	3way	zhu	Leu3_zhu
LYS14	1	1	2	3way	zhu	Lys14_zhu
MATALPHA2	1	1	2	3way	zhu	Matalpha2_zhu
MBP1	1	1	3	3way	zhu	Mbp1_zhu
MCM1	1	1	2	3way	zhu	Mcm1_zhu
MET31	1	1	3	3way	badis	Met31_badis
MET32	1	1	2	3way	badis	Met32_badis
MGA1	1	1	0	2way_jaspar	zhu	Mga1_zhu
MIG1	1	1	2	3way	zhu	Mig1_zhu
MIG2	1	1	4	3way	zhu	Mig2_zhu
MIG3	1	1	0	2way_jaspar	zhu	Mig3_zhu
MOT3	1	1	0	2way_jaspar	murphy	Mot3_murphy
MSN1	1	0	0	nothing_to_compare	murphy	Msn1_murphy
MSN2	1	1	0	2way_jaspar	badis	Msn2_badis
MSN4	1	1	0	2way_jaspar	badis	Msn4_badis
NDT80	1	1	0	2way_jaspar	zhu	Ndt80_zhu
NHP10	1	1	0	2way_jaspar	badis	Nhp10_badis
NHP6A	1	0	2	2way_rossi	zhu	Nhp6a_zhu
NHP6B	1	0	0	nothing_to_compare	zhu	Nhp6b_zhu
NRG1	1	1	2	3way	zhu	Nrg1_zhu
NRG2	1	0	1	2way_rossi	murphy	Nrg2_murphy
OAF1	1	1	0	2way_jaspar	badis	Oaf1_badis
PBF1	1	0	0	nothing_to_compare	zhu	Pbf1_zhu
PBF2	1	0	0	nothing_to_compare	zhu	Pbf2_zhu
PDR1	1	1	4	3way	badis	Pdr1_badis
PDR3	1	1	3	3way	murphy	Pdr3_murphy
PDR8	1	1	0	2way_jaspar	badis	Pdr8_badis
PHD1	1	1	2	3way	zhu	Phd1_zhu
PHO2	1	1	0	2way_jaspar	badis	Pho2_badis
PHO4	1	1	0	2way_jaspar	zhu	Pho4_zhu
PUT3	1	1	2	3way	badis	Put3_badis
RAP1	4	1	8	3way	motif1,motif2,telomeric,zhu	Rap1_motif1;Rap1_motif2;Rap1_telomeric;Rap1_zhu
RDR1	1	1	0	2way_jaspar	zhu	Rdr1_zhu
RDS1	1	1	0	2way_jaspar	zhu	Rds1_zhu
RDS2	1	1	0	2way_jaspar	badis	Rds2_badis
REB1	1	1	4	3way	badis	Reb1_badis
REI1	1	1	0	2way_jaspar	badis	Rei1_badis
RFX1	1	1	1	3way	badis	Rfx1_badis
RGM1	1	1	0	2way_jaspar	badis	Rgm1_badis
RGT1	1	1	0	2way_jaspar	badis	Rgt1_badis
RIM101	1	1	0	2way_jaspar	badis	Rim101_badis
ROX1	1	1	1	3way	badis	Rox1_badis
RPH1	1	1	1	3way	badis	Rph1_badis
RPN4	1	1	2	3way	badis	Rpn4_badis
RSC3	1	1	6	3way	zhu	Rsc3_zhu
RSC30	1	1	0	2way_jaspar	zhu	Rsc30_zhu
RTG3	1	1	0	2way_jaspar	zhu	Rtg3_zhu
SFL1	1	1	3	3way	zhu	Sfl1_zhu
SFP1	1	1	3	3way	zhu	Sfp1_zhu
SIG1	1	0	0	nothing_to_compare	badis	Sig1_badis
SIP4	1	1	0	2way_jaspar	badis	Sip4_badis
SKN7	1	1	3	3way	badis	Skn7_badis
SKO1	1	1	2	3way	murphy	Sko1_murphy
SMP1	1	1	0	2way_jaspar	zhu	Smp1_zhu
SOK2	1	1	5	3way	badis	Sok2_badis
SPT15	1	1	11	3way	zhu	Spt15_zhu
SRD1	1	1	0	2way_jaspar	badis	Srd1_badis
STB3	1	1	3	3way	zhu	Stb3_zhu
STB4	1	1	1	3way	murphy	Stb4_murphy
STB5	1	1	2	3way	murphy	Stb5_murphy
STE12	1	1	3	3way	murphy	Ste12_murphy
STP1	1	1	4	3way	murphy	Stp1_murphy
STP2	1	1	4	3way	zhu	Stp2_zhu
STP3	1	1	0	2way_jaspar	badis	Stp3_badis
STP4	1	1	2	3way	zhu	Stp4_zhu
SUM1	1	1	4	3way	zhu	Sum1_zhu
SUT1	1	1	2	3way	murphy	Sut1_murphy
SUT2	1	1	0	2way_jaspar	zhu	Sut2_zhu
SWI4	1	1	5	3way	badis	Swi4_badis
SWI5	1	1	4	3way	badis	Swi5_badis
TBF1	1	1	5	3way	zhu	Tbf1_zhu
TBS1	1	1	0	2way_jaspar	zhu	Tbs1_zhu
TEA1	1	1	2	3way	zhu	Tea1_zhu
TEC1	1	1	0	2way_jaspar	badis	Tec1_badis
TOS8	1	1	0	2way_jaspar	badis	Tos8_badis
TYE7	1	1	0	2way_jaspar	zhu	Tye7_zhu
UGA3	1	1	0	2way_jaspar	badis	Uga3_badis
UME6	1	1	2	3way	zhu	Ume6_zhu
UPC2	1	1	0	2way_jaspar	murphy	Upc2_murphy
USV1	1	1	0	2way_jaspar	zhu	Usv1_zhu
